durasi_manhour,id_work_center,id_proses,id_tipe_proses,id_kapasitas,id_kategori_produk,nama_workcenter,nama_proses,nama_tipeproses,ukuran_kapasitas,nama_kategoriproduk,created_at,updated_at
0,1,1,23,48,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,24,48,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,60,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,1,4,48,1,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),60,TRANSORMATOR OIL CUSTOMIZE,,
1.5,1,1,25,48,1,COIL MAKING,COIL LV,GROUNDSHIELD,60,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,1,26,48,1,COIL MAKING,COIL LV,TRANSPOSE,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,1,48,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,60,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,2,48,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,5,48,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,6,48,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,3,48,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,17,48,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,60,TRANSORMATOR OIL CUSTOMIZE,,
10.5,1,2,18,48,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,60,TRANSORMATOR OIL CUSTOMIZE,,
11.75,1,2,19,48,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,60,TRANSORMATOR OIL CUSTOMIZE,,
10.5,1,2,27,48,1,COIL MAKING,COIL HV,2 SECTION,60,TRANSORMATOR OIL CUSTOMIZE,,
15,1,2,28,48,1,COIL MAKING,COIL HV,4 SECTION,60,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,29,48,1,COIL MAKING,COIL HV,FR OLTC,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,21,48,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,22,48,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,23,48,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,24,48,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,60,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,2,26,48,1,COIL MAKING,COIL HV,TRANSPOSE,60,TRANSORMATOR OIL CUSTOMIZE,,
0.5,1,2,7,48,1,COIL MAKING,COIL HV,PRESS COIL,60,TRANSORMATOR OIL CUSTOMIZE,,
3,3,27,30,48,1,CORE COIL ASSEMBLY,WOUND-KOTAK,WOUND-KOTAK,60,TRANSORMATOR OIL CUSTOMIZE,,
7,3,28,31,48,1,CORE COIL ASSEMBLY,STACKING-KOTAK,STACKING-KOTAK,60,TRANSORMATOR OIL CUSTOMIZE,,
1.5,6,29,11,48,1,CONNECT,OFF-LOAD,OFF-LOAD,60,TRANSORMATOR OIL CUSTOMIZE,,
0,6,30,32,48,1,CONNECT,ON-LOAD,ON-LOAD,60,TRANSORMATOR OIL CUSTOMIZE,,
7,6,31,33,48,1,CONNECT,CHANGE OVER BOARD,CHANGE OVER BOARD,60,TRANSORMATOR OIL CUSTOMIZE,,
4,6,32,34,48,1,CONNECT,DOUBLE TAP,DOUBLE TAP,60,TRANSORMATOR OIL CUSTOMIZE,,
1,6,33,35,48,1,CONNECT,FLAT,FLAT,60,TRANSORMATOR OIL CUSTOMIZE,,
1,6,34,12,48,1,CONNECT,RAIL,RAIL,60,TRANSORMATOR OIL CUSTOMIZE,,
1,6,35,36,48,1,CONNECT,WIRE SOFT,WIRE SOFT,60,TRANSORMATOR OIL CUSTOMIZE,,
1,5,36,35,48,1,FINAL ASSEMBLY,FLAT,FLAT,60,TRANSORMATOR OIL CUSTOMIZE,,
1,5,37,12,48,1,FINAL ASSEMBLY,RAIL,RAIL,60,TRANSORMATOR OIL CUSTOMIZE,,
1,5,38,36,48,1,FINAL ASSEMBLY,WIRE SOFT,WIRE SOFT,60,TRANSORMATOR OIL CUSTOMIZE,,
1.5,5,39,37,48,1,FINAL ASSEMBLY,STANDARD,STANDARD,60,TRANSORMATOR OIL CUSTOMIZE,,
3,5,40,38,48,1,FINAL ASSEMBLY,NON-STANDARD,NON-STANDARD,60,TRANSORMATOR OIL CUSTOMIZE,,
1,5,41,14,48,1,FINAL ASSEMBLY,PENGISIAN OLI,PENGISIAN OLI,60,TRANSORMATOR OIL CUSTOMIZE,,
2,8,42,39,48,1,SPECIAL ASSEMBLY,RADIATOR VALVE,RADIATOR VALVE,60,TRANSORMATOR OIL CUSTOMIZE,,
1,8,43,40,48,1,SPECIAL ASSEMBLY,SIDEWALL,SIDEWALL,60,TRANSORMATOR OIL CUSTOMIZE,,
2,8,44,41,48,1,SPECIAL ASSEMBLY,TAP CHANGER ROTARY,TAP CHANGER ROTARY,60,TRANSORMATOR OIL CUSTOMIZE,,
4,8,45,42,48,1,SPECIAL ASSEMBLY,ACCESSORIES PAD MOUNTED,ACCESSORIES PAD MOUNTED,60,TRANSORMATOR OIL CUSTOMIZE,,
4,8,46,43,48,1,SPECIAL ASSEMBLY,ACCESSORIES POLE MOUNTED,ACCESSORIES POLE MOUNTED,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,47,44,48,1,FINISHING,RAPID PRESSURE RISE RELAY,RAPID PRESSURE RISE RELAY,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,48,45,48,1,FINISHING,WINDING THERMOMETER,WINDING THERMOMETER,60,TRANSORMATOR OIL CUSTOMIZE,,
2,7,49,46,48,1,FINISHING,DGPT C/W CONTROL BOX,DGPT C/W CONTROL BOX,60,TRANSORMATOR OIL CUSTOMIZE,,
2,7,50,47,48,1,FINISHING,MEMBRAN SEPERATOR,MEMBRAN SEPERATOR,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,51,48,48,1,FINISHING,DIAL THERMOMETER,DIAL THERMOMETER,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,52,49,48,1,FINISHING,OIL THERMOMETER,OIL THERMOMETER,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,53,50,48,1,FINISHING,BUCCHOLZ RELAY,BUCCHOLZ RELAY,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,54,51,48,1,FINISHING,ANTI VIBRATION,ANTI VIBRATION,60,TRANSORMATOR OIL CUSTOMIZE,,
14,7,55,52,48,1,FINISHING,OLTC,OLTC,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,56,53,48,1,FINISHING,MOLG,MOLG,60,TRANSORMATOR OIL CUSTOMIZE,,
0.5,7,57,54,48,1,FINISHING,PRD,PRD,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,58,55,48,1,FINISHING,CONTROL VT,CONTROL VT,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,59,56,48,1,FINISHING,DIFFERENTIAL VT,DIFFERENTIAL VT,60,TRANSORMATOR OIL CUSTOMIZE,,
14,7,60,57,48,1,FINISHING,FAN,FAN,60,TRANSORMATOR OIL CUSTOMIZE,,
4,7,61,58,48,1,FINISHING,NGR,NGR,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,62,59,48,1,FINISHING,ARRESTER,ARRESTER,60,TRANSORMATOR OIL CUSTOMIZE,,
4,7,63,60,48,1,FINISHING,HEATER,HEATER,60,TRANSORMATOR OIL CUSTOMIZE,,
1,7,64,61,48,1,FINISHING,PT-100,PT-100,60,TRANSORMATOR OIL CUSTOMIZE,,
2,7,65,62,48,1,FINISHING,CABLE BOX HV / LV,CABLE BOX HV / LV,60,TRANSORMATOR OIL CUSTOMIZE,,
4,7,66,63,48,1,FINISHING,CABLE BOX HV + LV,CABLE BOX HV + LV,60,TRANSORMATOR OIL CUSTOMIZE,,
5,7,67,64,48,1,FINISHING,WIRING CONTROL BOX STANDARD,WIRING CONTROL BOX STANDARD,60,TRANSORMATOR OIL CUSTOMIZE,,
20,7,68,65,48,1,FINISHING,WIRING CONTROL BOX NON-STANDARD,WIRING CONTROL BOX NON-STANDARD,60,TRANSORMATOR OIL CUSTOMIZE,,
3,7,69,66,48,1,FINISHING,CU LINK HV / LV (STANDARD),CU LINK HV / LV (STANDARD),60,TRANSORMATOR OIL CUSTOMIZE,,
6,7,70,67,48,1,FINISHING,CU LINK HV + LV (STANDARD),CU LINK HV + LV (STANDARD),60,TRANSORMATOR OIL CUSTOMIZE,,
14,7,71,68,48,1,FINISHING,CU LINK HV / LV (NON-STANDARD),CU LINK HV / LV (NON-STANDARD),60,TRANSORMATOR OIL CUSTOMIZE,,
28,7,72,69,48,1,FINISHING,CU LINK HV /+ LV (NON STANDARD),CU LINK HV /+ LV (NON STANDARD),60,TRANSORMATOR OIL CUSTOMIZE,,
14,7,73,70,48,1,FINISHING,RADIATOR PANEL (BONGKAR),RADIATOR PANEL (BONGKAR),60,TRANSORMATOR OIL CUSTOMIZE,,
14,7,74,71,48,1,FINISHING,RADIATOR PANEL (PASANG),RADIATOR PANEL (PASANG),60,TRANSORMATOR OIL CUSTOMIZE,,
2,7,75,72,48,1,FINISHING,CONSERVATOR (BONGKAR),CONSERVATOR (BONGKAR),60,TRANSORMATOR OIL CUSTOMIZE,,
2,7,76,73,48,1,FINISHING,CONSERVATOR (PASANG),CONSERVATOR (PASANG),60,TRANSORMATOR OIL CUSTOMIZE,,
2,4,77,15,48,1,QC TEST,ROUTINE TEST,ROUTINE TEST,60,TRANSORMATOR OIL CUSTOMIZE,,
12,4,78,74,48,1,QC TEST,LIGHTNING IMPULSE,LIGHTNING IMPULSE,60,TRANSORMATOR OIL CUSTOMIZE,,
15,4,79,75,48,1,QC TEST,TEMPERATURE RISE,TEMPERATURE RISE,60,TRANSORMATOR OIL CUSTOMIZE,,
1.5,4,80,76,48,1,QC TEST,TAN DELTA,TAN DELTA,60,TRANSORMATOR OIL CUSTOMIZE,,
1.5,4,81,77,48,1,QC TEST,NOISE,NOISE,60,TRANSORMATOR OIL CUSTOMIZE,,
2.5,4,82,78,48,1,QC TEST,SFRA,SFRA,60,TRANSORMATOR OIL CUSTOMIZE,,
2,4,83,79,48,1,QC TEST,PD,PD,60,TRANSORMATOR OIL CUSTOMIZE,,
0.33,4,84,80,48,1,QC TEST,DGA,DGA,60,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,1,49,1,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,2,49,1,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
11,1,1,16,49,1,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),65,TRANSORMATOR OIL CUSTOMIZE,,
10.5,1,1,3,49,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
12,1,1,17,49,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
13,1,1,18,49,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,65,TRANSORMATOR OIL CUSTOMIZE,,
14.25,1,1,19,49,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,20,49,1,COIL MAKING,COIL LV,FLAT HELICAL,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,21,49,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,22,49,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,23,49,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,24,49,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,65,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,1,4,49,1,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),65,TRANSORMATOR OIL CUSTOMIZE,,
1.5,1,1,25,49,1,COIL MAKING,COIL LV,GROUNDSHIELD,65,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,1,26,49,1,COIL MAKING,COIL LV,TRANSPOSE,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,1,49,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,2,49,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,5,49,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,6,49,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,3,49,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,17,49,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
10.5,1,2,18,49,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,65,TRANSORMATOR OIL CUSTOMIZE,,
11.75,1,2,19,49,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,65,TRANSORMATOR OIL CUSTOMIZE,,
10.5,1,2,27,49,1,COIL MAKING,COIL HV,2 SECTION,65,TRANSORMATOR OIL CUSTOMIZE,,
15,1,2,28,49,1,COIL MAKING,COIL HV,4 SECTION,65,TRANSORMATOR OIL CUSTOMIZE,,
9.5,1,2,29,49,1,COIL MAKING,COIL HV,FR OLTC,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,21,49,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,22,49,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,23,49,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,24,49,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,65,TRANSORMATOR OIL CUSTOMIZE,,
0.17,1,2,26,49,1,COIL MAKING,COIL HV,TRANSPOSE,65,TRANSORMATOR OIL CUSTOMIZE,,
0.5,1,2,7,49,1,COIL MAKING,COIL HV,PRESS COIL,65,TRANSORMATOR OIL CUSTOMIZE,,
3,3,27,30,49,1,CORE COIL ASSEMBLY,WOUND-KOTAK,WOUND-KOTAK,65,TRANSORMATOR OIL CUSTOMIZE,,
7,3,28,31,49,1,CORE COIL ASSEMBLY,STACKING-KOTAK,STACKING-KOTAK,65,TRANSORMATOR OIL CUSTOMIZE,,
1.5,6,29,11,49,1,CONNECT,OFF-LOAD,OFF-LOAD,65,TRANSORMATOR OIL CUSTOMIZE,,
0,6,30,32,49,1,CONNECT,ON-LOAD,ON-LOAD,65,TRANSORMATOR OIL CUSTOMIZE,,
7,6,31,33,49,1,CONNECT,CHANGE OVER BOARD,CHANGE OVER BOARD,65,TRANSORMATOR OIL CUSTOMIZE,,
4,6,32,34,49,1,CONNECT,DOUBLE TAP,DOUBLE TAP,65,TRANSORMATOR OIL CUSTOMIZE,,
1,6,33,35,49,1,CONNECT,FLAT,FLAT,65,TRANSORMATOR OIL CUSTOMIZE,,
1,6,34,12,49,1,CONNECT,RAIL,RAIL,65,TRANSORMATOR OIL CUSTOMIZE,,
1,6,35,36,49,1,CONNECT,WIRE SOFT,WIRE SOFT,65,TRANSORMATOR OIL CUSTOMIZE,,
1,5,36,35,49,1,FINAL ASSEMBLY,FLAT,FLAT,65,TRANSORMATOR OIL CUSTOMIZE,,
1,5,37,12,49,1,FINAL ASSEMBLY,RAIL,RAIL,65,TRANSORMATOR OIL CUSTOMIZE,,
1,5,38,36,49,1,FINAL ASSEMBLY,WIRE SOFT,WIRE SOFT,65,TRANSORMATOR OIL CUSTOMIZE,,
1.5,5,39,37,49,1,FINAL ASSEMBLY,STANDARD,STANDARD,65,TRANSORMATOR OIL CUSTOMIZE,,
3,5,40,38,49,1,FINAL ASSEMBLY,NON-STANDARD,NON-STANDARD,65,TRANSORMATOR OIL CUSTOMIZE,,
1,5,41,14,49,1,FINAL ASSEMBLY,PENGISIAN OLI,PENGISIAN OLI,65,TRANSORMATOR OIL CUSTOMIZE,,
2,8,42,39,49,1,SPECIAL ASSEMBLY,RADIATOR VALVE,RADIATOR VALVE,65,TRANSORMATOR OIL CUSTOMIZE,,
1,8,43,40,49,1,SPECIAL ASSEMBLY,SIDEWALL,SIDEWALL,65,TRANSORMATOR OIL CUSTOMIZE,,
2,8,44,41,49,1,SPECIAL ASSEMBLY,TAP CHANGER ROTARY,TAP CHANGER ROTARY,65,TRANSORMATOR OIL CUSTOMIZE,,
4,8,45,42,49,1,SPECIAL ASSEMBLY,ACCESSORIES PAD MOUNTED,ACCESSORIES PAD MOUNTED,65,TRANSORMATOR OIL CUSTOMIZE,,
4,8,46,43,49,1,SPECIAL ASSEMBLY,ACCESSORIES POLE MOUNTED,ACCESSORIES POLE MOUNTED,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,47,44,49,1,FINISHING,RAPID PRESSURE RISE RELAY,RAPID PRESSURE RISE RELAY,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,48,45,49,1,FINISHING,WINDING THERMOMETER,WINDING THERMOMETER,65,TRANSORMATOR OIL CUSTOMIZE,,
2,7,49,46,49,1,FINISHING,DGPT C/W CONTROL BOX,DGPT C/W CONTROL BOX,65,TRANSORMATOR OIL CUSTOMIZE,,
2,7,50,47,49,1,FINISHING,MEMBRAN SEPERATOR,MEMBRAN SEPERATOR,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,51,48,49,1,FINISHING,DIAL THERMOMETER,DIAL THERMOMETER,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,52,49,49,1,FINISHING,OIL THERMOMETER,OIL THERMOMETER,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,53,50,49,1,FINISHING,BUCCHOLZ RELAY,BUCCHOLZ RELAY,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,54,51,49,1,FINISHING,ANTI VIBRATION,ANTI VIBRATION,65,TRANSORMATOR OIL CUSTOMIZE,,
14,7,55,52,49,1,FINISHING,OLTC,OLTC,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,56,53,49,1,FINISHING,MOLG,MOLG,65,TRANSORMATOR OIL CUSTOMIZE,,
0.5,7,57,54,49,1,FINISHING,PRD,PRD,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,58,55,49,1,FINISHING,CONTROL VT,CONTROL VT,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,59,56,49,1,FINISHING,DIFFERENTIAL VT,DIFFERENTIAL VT,65,TRANSORMATOR OIL CUSTOMIZE,,
14,7,60,57,49,1,FINISHING,FAN,FAN,65,TRANSORMATOR OIL CUSTOMIZE,,
4,7,61,58,49,1,FINISHING,NGR,NGR,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,62,59,49,1,FINISHING,ARRESTER,ARRESTER,65,TRANSORMATOR OIL CUSTOMIZE,,
4,7,63,60,49,1,FINISHING,HEATER,HEATER,65,TRANSORMATOR OIL CUSTOMIZE,,
1,7,64,61,49,1,FINISHING,PT-100,PT-100,65,TRANSORMATOR OIL CUSTOMIZE,,
2,7,65,62,49,1,FINISHING,CABLE BOX HV / LV,CABLE BOX HV / LV,65,TRANSORMATOR OIL CUSTOMIZE,,
4,7,66,63,49,1,FINISHING,CABLE BOX HV + LV,CABLE BOX HV + LV,65,TRANSORMATOR OIL CUSTOMIZE,,
5,7,67,64,49,1,FINISHING,WIRING CONTROL BOX STANDARD,WIRING CONTROL BOX STANDARD,65,TRANSORMATOR OIL CUSTOMIZE,,
20,7,68,65,49,1,FINISHING,WIRING CONTROL BOX NON-STANDARD,WIRING CONTROL BOX NON-STANDARD,65,TRANSORMATOR OIL CUSTOMIZE,,
3,7,69,66,49,1,FINISHING,CU LINK HV / LV (STANDARD),CU LINK HV / LV (STANDARD),65,TRANSORMATOR OIL CUSTOMIZE,,
6,7,70,67,49,1,FINISHING,CU LINK HV + LV (STANDARD),CU LINK HV + LV (STANDARD),65,TRANSORMATOR OIL CUSTOMIZE,,
14,7,71,68,49,1,FINISHING,CU LINK HV / LV (NON-STANDARD),CU LINK HV / LV (NON-STANDARD),65,TRANSORMATOR OIL CUSTOMIZE,,
28,7,72,69,49,1,FINISHING,CU LINK HV /+ LV (NON STANDARD),CU LINK HV /+ LV (NON STANDARD),65,TRANSORMATOR OIL CUSTOMIZE,,
14,7,73,70,49,1,FINISHING,RADIATOR PANEL (BONGKAR),RADIATOR PANEL (BONGKAR),65,TRANSORMATOR OIL CUSTOMIZE,,
14,7,74,71,49,1,FINISHING,RADIATOR PANEL (PASANG),RADIATOR PANEL (PASANG),65,TRANSORMATOR OIL CUSTOMIZE,,
2,7,75,72,49,1,FINISHING,CONSERVATOR (BONGKAR),CONSERVATOR (BONGKAR),65,TRANSORMATOR OIL CUSTOMIZE,,
2,7,76,73,49,1,FINISHING,CONSERVATOR (PASANG),CONSERVATOR (PASANG),65,TRANSORMATOR OIL CUSTOMIZE,,
2,4,77,15,49,1,QC TEST,ROUTINE TEST,ROUTINE TEST,65,TRANSORMATOR OIL CUSTOMIZE,,
12,4,78,74,49,1,QC TEST,LIGHTNING IMPULSE,LIGHTNING IMPULSE,65,TRANSORMATOR OIL CUSTOMIZE,,
15,4,79,75,49,1,QC TEST,TEMPERATURE RISE,TEMPERATURE RISE,65,TRANSORMATOR OIL CUSTOMIZE,,
1.5,4,80,76,49,1,QC TEST,TAN DELTA,TAN DELTA,65,TRANSORMATOR OIL CUSTOMIZE,,
1.5,4,81,77,49,1,QC TEST,NOISE,NOISE,65,TRANSORMATOR OIL CUSTOMIZE,,
2.5,4,82,78,49,1,QC TEST,SFRA,SFRA,65,TRANSORMATOR OIL CUSTOMIZE,,
2,4,83,79,49,1,QC TEST,PD,PD,65,TRANSORMATOR OIL CUSTOMIZE,,
0.33,4,84,80,49,1,QC TEST,DGA,DGA,65,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,1,11,1,COIL MAKING,COIL LV,SHEET KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,2,11,1,COIL MAKING,COIL LV,SHEET KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
11,1,1,16,11,1,COIL MAKING,COIL LV,SHEET KONDUKTOR (2 SECTION),75,TRANSORMATOR OIL CUSTOMIZE,,
11,1,1,3,11,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
12,1,1,17,11,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
13,1,1,18,11,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 3,75,TRANSORMATOR OIL CUSTOMIZE,,
14,1,1,19,11,1,COIL MAKING,COIL LV,FLAT CYLINDRICAL KONDUKTOR 4,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,20,11,1,COIL MAKING,COIL LV,FLAT HELICAL,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,21,11,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,22,11,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,23,11,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 3,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,24,11,1,COIL MAKING,COIL LV,FLAT DISC KONDUKTOR 4,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,4,11,1,COIL MAKING,COIL LV,LEADWIRE (AL STRIP / RAIL COPPER),75,TRANSORMATOR OIL CUSTOMIZE,,
2,1,1,25,11,1,COIL MAKING,COIL LV,GROUNDSHIELD,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,1,26,11,1,COIL MAKING,COIL LV,TRANSPOSE,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,1,11,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,2,11,1,COIL MAKING,COIL HV,SHEET KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,5,11,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,6,11,1,COIL MAKING,COIL HV,ROUND CYLINDRICAL KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,3,11,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,17,11,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
11,1,2,18,11,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 3,75,TRANSORMATOR OIL CUSTOMIZE,,
12,1,2,19,11,1,COIL MAKING,COIL HV,FLAT CYLINDRICAL KONDUKTOR 4,75,TRANSORMATOR OIL CUSTOMIZE,,
11,1,2,27,11,1,COIL MAKING,COIL HV,2 SECTION,75,TRANSORMATOR OIL CUSTOMIZE,,
15,1,2,28,11,1,COIL MAKING,COIL HV,4 SECTION,75,TRANSORMATOR OIL CUSTOMIZE,,
10,1,2,29,11,1,COIL MAKING,COIL HV,FR OLTC,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,21,11,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 1,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,22,11,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 2,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,23,11,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 3,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,24,11,1,COIL MAKING,COIL HV,FLAT DISC KONDUKTOR 4,75,TRANSORMATOR OIL CUSTOMIZE,,
0,1,2,26,11,1,COIL MAKING,COIL HV,TRANSPOSE,75,TRANSORMATOR OIL CUSTOMIZE,,
1,1,2,7,11,1,COIL MAKING,COIL HV,PRESS COIL,75,TRANSORMATOR OIL CUSTOMIZE,,
